file,line,string,kind,line_text
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\EmployerProfilePage.jsx,168,<li><strong>Union Proximity (3x):</strong> Whether companies in the same corporate family already have unions. Strongest predictor -- the corporate parent has already dealt with unions elsewhere.</li>,jsx_text_or_expr,<li><strong>Union Proximity (3x):</strong> Whether companies in the same corporate family already have unions. Strongest predictor -- the corporate parent has already dealt with unions elsewhere.</li>
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\EmployerProfilePage.jsx,169,<li><strong>Employer Size (3x):</strong> Larger employers offer more impact per campaign. Employers under 15 employees score zero.</li>,jsx_text_or_expr,<li><strong>Employer Size (3x):</strong> Larger employers offer more impact per campaign. Employers under 15 employees score zero.</li>
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\EmployerProfilePage.jsx,170,"<li><strong>NLRB Activity (3x):</strong> Nearby union election momentum (within 25 miles, similar industry) and this employer's own election history. Past losses count as a negative.</li>",jsx_text_or_expr,"<li><strong>NLRB Activity (3x):</strong> Nearby union election momentum (within 25 miles, similar industry) and this employer's own election history. Past losses count as a negative.</li>"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\EmployerProfilePage.jsx,171,"<li><strong>Gov Contracts (2x):</strong> Federal, state, or city government contracts create public accountability and regulatory leverage. Multiple contract levels score higher.</li>",jsx_text_or_expr,"<li><strong>Gov Contracts (2x):</strong> Federal, state, or city government contracts create public accountability and regulatory leverage. Multiple contract levels score higher.</li>"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\EmployerProfilePage.jsx,172,<li><strong>Industry Growth (2x):</strong> BLS-projected 10-year industry growth rate. Faster-growing industries mean more workers entering the field.</li>,jsx_text_or_expr,<li><strong>Industry Growth (2x):</strong> BLS-projected 10-year industry growth rate. Faster-growing industries mean more workers entering the field.</li>
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\EmployerProfilePage.jsx,173,"<li><strong>OSHA Safety (1x):</strong> Workplace safety violations. More violations and more serious violations (willful, repeat) score higher. Recent ones count more.</li>",jsx_text_or_expr,"<li><strong>OSHA Safety (1x):</strong> Workplace safety violations. More violations and more serious violations (willful, repeat) score higher. Recent ones count more.</li>"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\EmployerProfilePage.jsx,174,"<li><strong>WHD Wage Theft (1x):</strong> Wage and hour violations including back wages, overtime, and minimum wage violations.</li>",jsx_text_or_expr,"<li><strong>WHD Wage Theft (1x):</strong> Wage and hour violations including back wages, overtime, and minimum wage violations.</li>"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\EmployerProfilePage.jsx,175,"<li><strong>Financial (1x):</strong> Revenue scale, asset cushion, and revenue-per-worker from 990 filings or SEC data.</li>",jsx_text_or_expr,"<li><strong>Financial (1x):</strong> Revenue scale, asset cushion, and revenue-per-worker from 990 filings or SEC data.</li>"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\EmployerProfilePage.jsx,179,<li><strong>F-7:</strong> DOL Form LM-10/F-7 filings. Employers with union contracts are required to file these.</li>,jsx_text_or_expr,<li><strong>F-7:</strong> DOL Form LM-10/F-7 filings. Employers with union contracts are required to file these.</li>
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\EmployerProfilePage.jsx,180,<li><strong>OSHA:</strong> Occupational Safety and Health Administration inspection records.</li>,jsx_text_or_expr,<li><strong>OSHA:</strong> Occupational Safety and Health Administration inspection records.</li>
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\EmployerProfilePage.jsx,181,"<li><strong>NLRB:</strong> National Labor Relations Board case records -- election petitions, results, and unfair labor practice complaints.</li>",jsx_text_or_expr,"<li><strong>NLRB:</strong> National Labor Relations Board case records -- election petitions, results, and unfair labor practice complaints.</li>"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\EmployerProfilePage.jsx,182,"<li><strong>WHD:</strong> Wage and Hour Division enforcement records -- wage theft, overtime, minimum wage investigations.</li>",jsx_text_or_expr,"<li><strong>WHD:</strong> Wage and Hour Division enforcement records -- wage theft, overtime, minimum wage investigations.</li>"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\EmployerProfilePage.jsx,186,<p><strong>Confidence dots:</strong> How confident the system is that records from a data source were correctly matched to this employer. 4 dots = matched on unique ID (EIN or exact name + address). 3 dots = name + state or city. 2 dots = fuzzy name similarity + location. 1 dot = name similarity alone -- treat with caution.</p>,jsx_text_or_expr,<p><strong>Confidence dots:</strong> How confident the system is that records from a data source were correctly matched to this employer. 4 dots = matched on unique ID (EIN or exact name + address). 3 dots = name + state or city. 2 dots = fuzzy name similarity + location. 1 dot = name similarity alone -- treat with caution.</p>
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\EmployerProfilePage.jsx,187,<p><strong>Employee count range:</strong> Different databases collect employee counts at different times using different definitions. The platform shows the range across all sources so you can see the spread. The scoring system uses the average.</p>,jsx_text_or_expr,<p><strong>Employee count range:</strong> Different databases collect employee counts at different times using different definitions. The platform shows the range across all sources so you can see the spread. The scoring system uses the average.</p>
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\EmployerProfilePage.jsx,189,<ScorecardSection scorecard={scorecard} explanations={explanations} />,jsx_text_or_expr,<ScorecardSection scorecard={scorecard} explanations={explanations} />
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\EmployerProfilePage.jsx,191,<FinancialDataCard scorecard={scorecard} dataSources={dataSourcesQuery.data} />,jsx_text_or_expr,<FinancialDataCard scorecard={scorecard} dataSources={dataSourcesQuery.data} />
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\EmployerProfilePage.jsx,194,<NlrbSection nlrb={nlrb} />,jsx_text_or_expr,<NlrbSection nlrb={nlrb} />
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\EmployerProfilePage.jsx,195,<GovernmentContractsCard dataSources={dataSourcesQuery.data} />,jsx_text_or_expr,<GovernmentContractsCard dataSources={dataSourcesQuery.data} />
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\EmployerProfilePage.jsx,196,<OshaSection osha={osha} />,jsx_text_or_expr,<OshaSection osha={osha} />
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\FinancialDataCard.jsx,15,Financial overview,string_literal,const summary = growthPct != null ? `Industry growth: ${Number(growthPct).toFixed(1)}%` : 'Financial overview'
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\FinancialDataCard.jsx,18,Financial Data,string_literal,"<CollapsibleCard icon={TrendingUp} title=""Financial Data"" summary={summary}>"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\FinancialDataCard.jsx,22,"<span className=""text-muted-foreground"">BLS Industry Growth</span>",jsx_text_or_expr,"<span className=""text-muted-foreground"">BLS Industry Growth</span>"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\FinancialDataCard.jsx,23,"<div className=""font-medium"">{Number(growthPct).toFixed(1)}%</div>",jsx_text_or_expr,"<div className=""font-medium"">{Number(growthPct).toFixed(1)}%</div>"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\FinancialDataCard.jsx,46,"<span className=""text-muted-foreground"">Financial Score</span>",jsx_text_or_expr,"<span className=""text-muted-foreground"">Financial Score</span>"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\FinancialDataCard.jsx,49,"<div className=""h-full bg-red-400"" style={{ width: `${(financialScore / 10) * 100}%` }} />",jsx_text_or_expr,"<div className=""h-full bg-red-400"" style={{ width: `${(financialScore / 10) * 100}%` }} />"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\FinancialDataCard.jsx,51,"<span className=""text-xs font-medium w-8"">{Number(financialScore).toFixed(1)}</span>",jsx_text_or_expr,"<span className=""text-xs font-medium w-8"">{Number(financialScore).toFixed(1)}</span>"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\FlagModal.jsx,83,"<Button type=""button"" variant=""outline"" size=""sm"" onClick={onClose}>",jsx_text_or_expr,"<Button type=""button"" variant=""outline"" size=""sm"" onClick={onClose}>"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\FlagModal.jsx,86,"<Button type=""submit"" size=""sm"" disabled={!flagType || mutation.isPending}>",jsx_text_or_expr,"<Button type=""submit"" size=""sm"" disabled={!flagType || mutation.isPending}>"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\GovernmentContractsCard.jsx,20,Government Contracts,string_literal,"<CollapsibleCard icon={FileText} title=""Government Contracts"" summary={summary}>"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\NlrbSection.jsx,65,NLRB Activity,string_literal,"<CollapsibleCard icon={Scale} title=""NLRB Activity"" summary={summaryText}>"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\NlrbSection.jsx,108,"<td className=""px-3 py-2 text-right"">{formatNumber(el.voters_eligible || el.unit_size)}</td>",jsx_text_or_expr,"<td className=""px-3 py-2 text-right"">{formatNumber(el.voters_eligible || el.unit_size)}</td>"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\OshaSection.jsx,49,OSHA Safety Record,string_literal,"<CollapsibleCard icon={ShieldAlert} title=""OSHA Safety Record"" summary={summaryText}>"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\ProfileActionButtons.jsx,18,Score Tier,string_literal,"['Score Tier', scorecard?.score_tier || ''],"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\ProfileActionButtons.jsx,19,Weighted Score,string_literal,"['Weighted Score', scorecard?.weighted_score || ''],"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\ProfileActionButtons.jsx,20,OSHA Score,string_literal,"['OSHA Score', scorecard?.score_osha || ''],"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\ProfileActionButtons.jsx,21,NLRB Score,string_literal,"['NLRB Score', scorecard?.score_nlrb || ''],"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\ProfileActionButtons.jsx,22,WHD Score,string_literal,"['WHD Score', scorecard?.score_whd || ''],"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\ProfileHeader.jsx,98,"<div className=""text-3xl font-bold"">{Number(weightedScore).toFixed(1)}</div>",jsx_text_or_expr,"<div className=""text-3xl font-bold"">{Number(weightedScore).toFixed(1)}</div>"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\ProfileHeader.jsx,99,"<div className=""text-xs text-muted-foreground"">Weighted Score</div>",jsx_text_or_expr,"<div className=""text-xs text-muted-foreground"">Weighted Score</div>"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\ProfileHeader.jsx,103,<ProfileActionButtons employer={employer} scorecard={scorecard} />,jsx_text_or_expr,<ProfileActionButtons employer={employer} scorecard={scorecard} />
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\ResearchNotesCard.jsx,101,"<Button variant=""outline"" size=""sm"" onClick={() => setShowForm(true)}>",jsx_text_or_expr,"<Button variant=""outline"" size=""sm"" onClick={() => setShowForm(true)}>"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\ResearchNotesCard.jsx,136,"<Button type=""submit"" size=""sm"" disabled={!flagType || flagMutation.isPending}>",jsx_text_or_expr,"<Button type=""submit"" size=""sm"" disabled={!flagType || flagMutation.isPending}>"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\ResearchNotesCard.jsx,139,"<Button type=""button"" variant=""outline"" size=""sm"" onClick={() => setShowForm(false)}>",jsx_text_or_expr,"<Button type=""button"" variant=""outline"" size=""sm"" onClick={() => setShowForm(false)}>"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\ScorecardSection.jsx,5,score_union_proximity,string_literal,"{ key: 'score_union_proximity', label: 'Union Proximity', weight: '3x' },"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\ScorecardSection.jsx,5,Union Proximity,string_literal,"{ key: 'score_union_proximity', label: 'Union Proximity', weight: '3x' },"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\ScorecardSection.jsx,6,score_size,string_literal,"{ key: 'score_size', label: 'Employer Size', weight: '3x' },"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\ScorecardSection.jsx,6,Employer Size,string_literal,"{ key: 'score_size', label: 'Employer Size', weight: '3x' },"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\ScorecardSection.jsx,7,score_nlrb,string_literal,"{ key: 'score_nlrb', label: 'NLRB Activity', weight: '3x' },"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\ScorecardSection.jsx,7,NLRB Activity,string_literal,"{ key: 'score_nlrb', label: 'NLRB Activity', weight: '3x' },"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\ScorecardSection.jsx,8,score_contracts,string_literal,"{ key: 'score_contracts', label: 'Gov Contracts', weight: '2x' },"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\ScorecardSection.jsx,8,Gov Contracts,string_literal,"{ key: 'score_contracts', label: 'Gov Contracts', weight: '2x' },"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\ScorecardSection.jsx,9,score_industry_growth,string_literal,"{ key: 'score_industry_growth', label: 'Industry Growth', weight: '2x' },"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\ScorecardSection.jsx,9,Industry Growth,string_literal,"{ key: 'score_industry_growth', label: 'Industry Growth', weight: '2x' },"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\ScorecardSection.jsx,10,score_similarity,string_literal,"{ key: 'score_similarity', label: 'Peer Similarity', weight: null, disabled: true },"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\ScorecardSection.jsx,10,Peer Similarity,string_literal,"{ key: 'score_similarity', label: 'Peer Similarity', weight: null, disabled: true },"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\ScorecardSection.jsx,11,score_osha,string_literal,"{ key: 'score_osha', label: 'OSHA Safety', weight: '1x' },"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\ScorecardSection.jsx,11,OSHA Safety,string_literal,"{ key: 'score_osha', label: 'OSHA Safety', weight: '1x' },"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\ScorecardSection.jsx,12,score_whd,string_literal,"{ key: 'score_whd', label: 'Wage & Hour', weight: '1x' },"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\ScorecardSection.jsx,13,score_financial,string_literal,"{ key: 'score_financial', label: 'Financial', weight: '1x' },"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\ScorecardSection.jsx,13,Financial,string_literal,"{ key: 'score_financial', label: 'Financial', weight: '1x' },"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\ScorecardSection.jsx,46,"{weight && <span className=""ml-1 text-xs text-muted-foreground"">({weight})</span>}",jsx_text_or_expr,"{weight && <span className=""ml-1 text-xs text-muted-foreground"">({weight})</span>}"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\ScorecardSection.jsx,77,<CardTitle>Organizing Scorecard</CardTitle>,jsx_text_or_expr,<CardTitle>Organizing Scorecard</CardTitle>
